key,sampling_time,Temperature
1,5/3/2019 11:16,1571
1,5/3/2019 11:25,1604
1,5/3/2019 11:29,1618
1,5/3/2019 11:30,1601
1,5/3/2019 11:30,1613
2,5/3/2019 11:37,1581
2,5/3/2019 11:38,1577
2,5/3/2019 11:49,1589
2,5/3/2019 11:55,1604
2,5/3/2019 11:58,1608
2,5/3/2019 11:59,1602
3,5/3/2019 12:13,1596
3,5/3/2019 12:18,1597
3,5/3/2019 12:25,1598
3,5/3/2019 12:30,1599
3,5/3/2019 12:34,1599
4,5/3/2019 12:52,1601
4,5/3/2019 12:58,1623
4,5/3/2019 12:59,1625
5,5/3/2019 13:23,1576
5,5/3/2019 13:36,1602
6,5/3/2019 13:49,1543
6,5/3/2019 14:04,1581
6,5/3/2019 14:11,1600
6,5/3/2019 14:11,1600
6,5/3/2019 14:12,1596
7,5/3/2019 14:19,1586
7,5/3/2019 14:20,1582
7,5/3/2019 14:32,1599
7,5/3/2019 14:38,1595
7,5/3/2019 14:42,1599
8,5/3/2019 15:07,1577
8,5/3/2019 15:17,1604
8,5/3/2019 15:20,1600
8,5/3/2019 15:22,1598
9,5/3/2019 15:37,1587
9,5/3/2019 15:45,1589
9,5/3/2019 15:51,1597
9,5/3/2019 15:58,1589
9,5/3/2019 16:01,1592
10,5/3/2019 16:14,1574
10,5/3/2019 16:21,1580
10,5/3/2019 16:28,1585
10,5/3/2019 16:29,1586
10,5/3/2019 16:32,1586
10,5/3/2019 16:33,1586
10,5/3/2019 16:35,1588
10,5/3/2019 16:36,1593
11,5/3/2019 16:54,1616
11,5/3/2019 16:57,1608
11,5/3/2019 17:20,1583
11,5/3/2019 17:27,1597
12,5/3/2019 17:40,1606
12,5/3/2019 17:52,1606
12,5/3/2019 18:03,1585
12,5/3/2019 18:09,1588
12,5/3/2019 18:09,1584
12,5/3/2019 18:12,1595
12,5/3/2019 18:13,1591
13,5/3/2019 18:38,1596
13,5/3/2019 18:53,1602
13,5/3/2019 18:57,1610
13,5/3/2019 19:03,1613
13,5/3/2019 19:03,1621
13,5/3/2019 19:04,1615
13,5/3/2019 19:06,1619
14,5/3/2019 20:00,1583
14,5/3/2019 20:15,1581
14,5/3/2019 20:24,1602
14,5/3/2019 20:31,1596
14,5/3/2019 20:34,1600
14,5/3/2019 20:38,1606
15,5/3/2019 20:58,1605
15,5/3/2019 20:59,1607
15,5/3/2019 21:16,1611
15,5/3/2019 21:23,1613
15,5/3/2019 21:23,1599
15,5/3/2019 21:33,1598
16,5/3/2019 22:03,1581
16,5/3/2019 22:19,1590
16,5/3/2019 22:30,1609
16,5/3/2019 22:31,1607
17,5/3/2019 22:42,1611
17,5/3/2019 22:51,1611
17,5/3/2019 22:51,1596
17,5/3/2019 22:58,1591
17,5/3/2019 23:06,1599
17,5/3/2019 23:10,1599
18,5/3/2019 23:22,1588
18,5/3/2019 23:36,1600
18,5/3/2019 23:42,1593
18,5/3/2019 23:54,1592
18,5/3/2019 23:59,1604
18,5/4/2019 0:04,1598
18,5/4/2019 0:08,1595
19,5/4/2019 0:39,1625
19,5/4/2019 0:43,1616
19,5/4/2019 0:54,1610
19,5/4/2019 1:10,1605
19,5/4/2019 1:15,1603
19,5/4/2019 1:17,1598
19,5/4/2019 1:18,1604
19,5/4/2019 1:19,1597
20,5/4/2019 1:41,1582
20,5/4/2019 1:51,1584
20,5/4/2019 1:59,1608
20,5/4/2019 2:05,1597
20,5/4/2019 2:07,1603
21,5/4/2019 3:25,1603
21,5/4/2019 3:26,1579
21,5/4/2019 3:33,1581
21,5/4/2019 3:46,1626
21,5/4/2019 3:51,1617
21,5/4/2019 3:52,1615
21,5/4/2019 4:10,1609
21,5/4/2019 4:15,1623
21,5/4/2019 4:19,1618
22,5/4/2019 3:59,1560
22,5/4/2019 4:29,1563
22,5/4/2019 4:41,1594
22,5/4/2019 4:48,1598
22,5/4/2019 4:49,1597
22,5/4/2019 4:50,1593
23,5/4/2019 5:10,1611
23,5/4/2019 5:21,1595
23,5/4/2019 5:29,1612
23,5/4/2019 5:34,1607
